Ticker,Ticker_1,weight
AAPL,AAPL,0.0
AAPL,AMZN,0.2
AAPL,GOOGL,0.2
AAPL,META,0.2
AAPL,MSFT,0.0
AAPL,NVDA,0.0
MSFT,AAPL,0.0
MSFT,AMZN,0.0
MSFT,GOOGL,0.0
MSFT,META,0.0
MSFT,MSFT,0.0
MSFT,NVDA,0.0
NVDA,AAPL,0.0
NVDA,AMZN,0.0
NVDA,GOOGL,0.0
NVDA,META,0.0
NVDA,MSFT,0.0
NVDA,NVDA,0.2
AMZN,AAPL,0.0
AMZN,AMZN,0.0
AMZN,GOOGL,0.0
AMZN,META,0.0
AMZN,MSFT,0.0
AMZN,NVDA,0.0
GOOGL,AAPL,0.0
GOOGL,AMZN,0.0
GOOGL,GOOGL,0.0
GOOGL,META,0.0
GOOGL,MSFT,0.0
GOOGL,NVDA,0.0
META,AAPL,0.0
META,AMZN,0.0
META,GOOGL,0.0
META,META,0.2
META,MSFT,0.0
META,NVDA,0.0
